,name,homogeneity_score,completeness_score,v_measure_score,param1,param2,silhouette_score
33,AgglomerativeClustering,0.020835942153882344,0.41555726789486724,0.03968222692793775,l1,single,0.255567518333221
34,AgglomerativeClustering,0.40259838528734326,0.35210201942854397,0.37566086778954255,l2,complete,-0.13185731788044627
35,AgglomerativeClustering,0.2370086420254117,0.5045610676796211,0.32251946622039124,l2,average,-0.27842037484191173
36,AgglomerativeClustering,0.02146117023707067,0.4280269739509705,0.040872979066504986,l2,single,0.17869659008690061
37,AgglomerativeClustering,0.27081183325145136,0.7961407772853822,0.40414980251917504,manhattan,complete,0.3371518414110949
38,AgglomerativeClustering,0.019808746280416924,0.3950706151859262,0.037725923754831615,manhattan,average,0.28189205004460155
39,AgglomerativeClustering,0.020835942153882344,0.41555726789486724,0.03968222692793775,manhattan,single,0.255567518333221
40,MiniBatchKMeans,0.4303566943818932,0.49031525230617123,0.4583835793988863,k-means++,0.001,-0.20112897537098587
41,MiniBatchKMeans,0.4303566943818932,0.49031525230617123,0.4583835793988863,k-means++,0.005,-0.20112897537098587
42,MiniBatchKMeans,0.4303566943818932,0.49031525230617123,0.4583835793988863,k-means++,0.01,-0.20112897537098587
43,MiniBatchKMeans,0.4303566943818932,0.49031525230617123,0.4583835793988863,k-means++,0.05,-0.20112897537098587
44,MiniBatchKMeans,0.4303566943818932,0.49031525230617123,0.4583835793988863,k-means++,0.1,-0.20112897537098587
45,MiniBatchKMeans,0.4303566943818932,0.49031525230617123,0.4583835793988863,k-means++,0.2,-0.20112897537098587
46,MiniBatchKMeans,0.4303566943818932,0.49031525230617123,0.4583835793988863,k-means++,0.3,-0.20112897537098587
47,MiniBatchKMeans,0.4269018585199556,0.5761404796109814,0.4904188630219107,random,0.001,-0.144630863928794
48,MiniBatchKMeans,0.4269018585199556,0.5761404796109814,0.4904188630219107,random,0.005,-0.144630863928794
49,MiniBatchKMeans,0.42560940532931474,0.5804592402600292,0.4911174066462598,random,0.01,-0.25498909284142046
50,MiniBatchKMeans,0.41982175975819164,0.6039512375540238,0.49532830427005947,random,0.05,-0.253585536857676
51,MiniBatchKMeans,0.3729140630609742,0.6732593157973692,0.47997372523783977,random,0.1,-0.27281056022219347
52,MiniBatchKMeans,0.2660809942896696,0.8577476149788772,0.40616573801536865,random,0.2,-0.28995070831031017
53,MiniBatchKMeans,0.2660809942896696,0.8577476149788772,0.40616573801536865,random,0.3,-0.28995070831031017
54,GaussianMixture,0.5327711264237233,0.4834340406335669,0.5069049178833729,tied,True,-0.11749898302940197
55,GaussianMixture,0.5327711264237233,0.4834340406335669,0.5069049178833729,tied,False,-0.11749898302940197
56,GaussianMixture,0.5396205304233744,0.48707703415924236,0.5120042680473396,diag,True,-0.11737844432337184
57,GaussianMixture,0.5396205304233744,0.48707703415924236,0.5120042680473396,diag,False,-0.11737844432337184
58,GaussianMixture,0.5079611832901616,0.4604810744061644,0.4830572180823323,spherical,True,-0.1103290209585439
59,GaussianMixture,0.5079611832901616,0.4604810744061644,0.4830572180823323,spherical,False,-0.1103290209585439
60,Birch,0.5594447643120913,0.5330019854326977,0.5459033498665863,0.1,10,-0.12024669069392976
61,Birch,0.5594447643120913,0.5330019854326977,0.5459033498665863,0.1,30,-0.12024669069392976
62,Birch,0.5594447643120913,0.5330019854326977,0.5459033498665863,0.1,50,-0.12024669069392976
63,Birch,0.5594447643120913,0.5330019854326977,0.5459033498665863,0.1,70,-0.12024669069392976
64,Birch,0.5594447643120913,0.5330019854326977,0.5459033498665863,0.1,90,-0.12024669069392976
65,Birch,0.5594447643120913,0.5330019854326977,0.5459033498665863,0.2,10,-0.12024669069392976
66,Birch,0.5594447643120913,0.5330019854326977,0.5459033498665863,0.2,30,-0.12024669069392976
67,Birch,0.5594447643120913,0.5330019854326977,0.5459033498665863,0.2,50,-0.12024669069392976
68,Birch,0.5594447643120913,0.5330019854326977,0.5459033498665863,0.2,70,-0.12024669069392976
69,Birch,0.5594447643120913,0.5330019854326977,0.5459033498665863,0.2,90,-0.12024669069392976
70,Birch,0.5594447643120913,0.5330019854326977,0.5459033498665863,0.30000000000000004,10,-0.12024669069392976
71,Birch,0.5594447643120913,0.5330019854326977,0.5459033498665863,0.30000000000000004,30,-0.12024669069392976
72,Birch,0.5594447643120913,0.5330019854326977,0.5459033498665863,0.30000000000000004,50,-0.12024669069392976
73,Birch,0.5594447643120913,0.5330019854326977,0.5459033498665863,0.30000000000000004,70,-0.12024669069392976
74,Birch,0.5594447643120913,0.5330019854326977,0.5459033498665863,0.30000000000000004,90,-0.12024669069392976
75,Birch,0.5788606603846357,0.5451445978451751,0.5614969495974648,0.4,10,-0.0825309019342554
76,Birch,0.5857302905477396,0.5528764645939904,0.5688293886915066,0.4,30,-0.0800637795188764
77,Birch,0.5857302905477396,0.5528764645939904,0.5688293886915066,0.4,50,-0.0800637795188764
78,Birch,0.5857302905477396,0.5528764645939904,0.5688293886915066,0.4,70,-0.0800637795188764
79,Birch,0.5857302905477396,0.5528764645939904,0.5688293886915066,0.4,90,-0.0800637795188764
80,Birch,0.5541552730509907,0.5475045148966163,0.550809818545567,0.5,10,-0.09200709743913571
81,Birch,0.5888784881508696,0.57217967047193,0.5804089946671451,0.5,30,-0.09447535850597474
82,Birch,0.5888784881508696,0.57217967047193,0.5804089946671451,0.5,50,-0.09447535850597474
83,Birch,0.5888784881508696,0.57217967047193,0.5804089946671451,0.5,70,-0.09447535850597474
84,Birch,0.5888784881508696,0.57217967047193,0.5804089946671451,0.5,90,-0.09447535850597474
85,Birch,0.556759555534176,0.5188241591173944,0.5371228743904288,0.6,10,-0.11421741656191989
