,name,param1,param2,homogeneity_score,completeness_score,v_measure_score,silhouette_score
39,AgglomerativeClustering,manhattan,single,0.007543664124885699,0.22724173007689247,0.014602571788471418,0.3110634633482658
40,MiniBatchKMeans,k-means++,0.001,0.41343096153813497,0.484360017245936,0.4460936507333234,-0.1727077100844819
41,MiniBatchKMeans,k-means++,0.005,0.41343096153813497,0.484360017245936,0.4460936507333234,-0.1727077100844819
42,MiniBatchKMeans,k-means++,0.01,0.41343096153813497,0.484360017245936,0.4460936507333234,-0.1727077100844819
43,MiniBatchKMeans,k-means++,0.05,0.41343096153813497,0.484360017245936,0.4460936507333234,-0.1727077100844819
44,MiniBatchKMeans,k-means++,0.1,0.41343096153813497,0.484360017245936,0.4460936507333234,-0.1727077100844819
45,MiniBatchKMeans,k-means++,0.2,0.41343096153813497,0.484360017245936,0.4460936507333234,-0.1727077100844819
46,MiniBatchKMeans,k-means++,0.3,0.41343096153813497,0.484360017245936,0.4460936507333234,-0.1727077100844819
47,MiniBatchKMeans,random,0.001,0.40151316694923395,0.6259556428798125,0.489220558596293,-0.14057191801364047
48,MiniBatchKMeans,random,0.005,0.40151316694923395,0.6259556428798125,0.489220558596293,-0.14057191801364047
49,MiniBatchKMeans,random,0.01,0.40151316694923395,0.6259556428798125,0.489220558596293,-0.14057191801364047
50,MiniBatchKMeans,random,0.05,0.40151316694923395,0.6259556428798125,0.489220558596293,-0.14057191801364047
51,MiniBatchKMeans,random,0.1,0.40151316694923395,0.6259556428798125,0.489220558596293,-0.14057191801364047
52,MiniBatchKMeans,random,0.2,0.40151316694923395,0.6259556428798125,0.489220558596293,-0.14057191801364047
53,MiniBatchKMeans,random,0.3,0.40151316694923395,0.6259556428798125,0.489220558596293,-0.14057191801364047
54,GaussianMixture,full,True,0.4820834140411171,0.4602245851000026,0.47090046866393886,-0.06998871733250726
55,GaussianMixture,full,False,0.4820834140411171,0.4602245851000026,0.47090046866393886,-0.06998871733250726
56,GaussianMixture,tied,True,0.4820834140411171,0.4602245851000026,0.47090046866393886,-0.06998871733250726
57,GaussianMixture,tied,False,0.4820834140411171,0.4602245851000026,0.47090046866393886,-0.06998871733250726
58,GaussianMixture,diag,True,0.48538204836410875,0.4624913001165994,0.47366027320208737,-0.07478309686433393
59,GaussianMixture,diag,False,0.48538204836410875,0.4624913001165994,0.47366027320208737,-0.07478309686433393
60,GaussianMixture,spherical,True,0.501183261281356,0.4811168163784797,0.49094507996846715,-0.08980107125189078
61,GaussianMixture,spherical,False,0.501183261281356,0.4811168163784797,0.49094507996846715,-0.08980107125189078
62,Birch,0.1,10,0.572923993295591,0.6047451991605944,0.5884046838430234,-0.10741999165555857
63,Birch,0.1,30,0.572923993295591,0.6047451991605944,0.5884046838430234,-0.10741999165555857
64,Birch,0.1,50,0.572923993295591,0.6047451991605944,0.5884046838430234,-0.10741999165555857
65,Birch,0.1,70,0.572923993295591,0.6047451991605944,0.5884046838430234,-0.10741999165555857
66,Birch,0.1,90,0.572923993295591,0.6047451991605944,0.5884046838430234,-0.10741999165555857
67,Birch,0.2,10,0.572923993295591,0.6047451991605944,0.5884046838430234,-0.10741999165555857
68,Birch,0.2,30,0.572923993295591,0.6047451991605944,0.5884046838430234,-0.10741999165555857
69,Birch,0.2,50,0.572923993295591,0.6047451991605944,0.5884046838430234,-0.10741999165555857
70,Birch,0.2,70,0.572923993295591,0.6047451991605944,0.5884046838430234,-0.10741999165555857
71,Birch,0.2,90,0.572923993295591,0.6047451991605944,0.5884046838430234,-0.10741999165555857
72,Birch,0.30000000000000004,10,0.572923993295591,0.6047451991605944,0.5884046838430234,-0.10741999165555857
73,Birch,0.30000000000000004,30,0.572923993295591,0.6047451991605944,0.5884046838430234,-0.10741999165555857
74,Birch,0.30000000000000004,50,0.572923993295591,0.6047451991605944,0.5884046838430234,-0.10741999165555857
75,Birch,0.30000000000000004,70,0.572923993295591,0.6047451991605944,0.5884046838430234,-0.10741999165555857
76,Birch,0.30000000000000004,90,0.572923993295591,0.6047451991605944,0.5884046838430234,-0.10741999165555857
77,Birch,0.4,10,0.5679969480283198,0.5993514581117353,0.5832531182861704,-0.10710205180306233
78,Birch,0.4,30,0.5782652243930617,0.6105064451958401,0.5939486203379468,-0.10431204050774624
79,Birch,0.4,50,0.5782652243930617,0.6105064451958401,0.5939486203379468,-0.10431204050774624
80,Birch,0.4,70,0.5782652243930617,0.6105064451958401,0.5939486203379468,-0.10431204050774624
81,Birch,0.4,90,0.5782652243930617,0.6105064451958401,0.5939486203379468,-0.10431204050774624
82,Birch,0.5,10,0.429647168441335,0.5198090433752826,0.47044714824515804,-0.11582131750816638
83,Birch,0.5,30,0.43524996744878847,0.5485220154647363,0.48536488845496295,-0.12179391430851084
84,Birch,0.5,50,0.43524996744878847,0.5485220154647363,0.48536488845496295,-0.12179391430851084
85,Birch,0.5,70,0.43524996744878847,0.5485220154647363,0.48536488845496295,-0.12179391430851084
86,Birch,0.5,90,0.43524996744878847,0.5485220154647363,0.48536488845496295,-0.12179391430851084
87,Birch,0.6,10,0.5278604258020394,0.6272165284552036,0.5732653267129533,-0.051542157373748856
88,Birch,0.6,30,0.528173668322245,0.6350884430666295,0.5767178169038284,-0.053005385857566034
89,Birch,0.6,50,0.49561379832631713,0.5500682973957495,0.5214231731163887,-0.04707540921906184
90,Birch,0.6,70,0.48417507242937796,0.5569161067197984,0.5180043817651222,-0.06381704991822736
91,Birch,0.6,90,0.5384035101328498,0.5634971912916646,0.5506646204131086,-0.12373831128453999
92,Birch,0.7000000000000001,10,0.5929385094601078,0.6101784828543942,0.6014349767137828,-0.09944436056244807
93,Birch,0.7000000000000001,30,0.43649073545211825,0.5756289830450829,0.4964960440252464,-0.15736053735403516
94,Birch,0.7000000000000001,50,0.5661122194214881,0.6227700173243124,0.5930910662129891,-0.03981308479771845
95,Birch,0.7000000000000001,70,0.5300986117880012,0.5906142294431267,0.5587225765810124,-0.07844001198118877
